uid,eid,rid,id,title,stime,creator_company,creator_occupation,sign,creator_uname,browsecount,crawler_time
2553187,10049165,0,87525,安信环保公用 | 连线期货：动力煤价格走势研判,2022-05-05 19:30:00,,,这个人很懒，什么都没留下,周喆安信环保公用,64,2022-05-05 16:23:48
1614390,10047142,218811,85404,民生军工 | 纵横股份年报解读电话会议,2022-05-05 13:00:00,民生证券研究所,,民生在勤 守正出新,民生证券研究院,51,2022-05-05 16:23:48
1317175,10049321,0,87699,国君基础化工 | 中触媒年报及一季报解读,2022-05-05 13:00:00,国泰君安证券,研究所,引领金融服务 共悦财富人生,国泰君安证券研究所,49,2022-05-05 16:23:48
1302758,10049320,0,87698,浙商电新 |泰胜风能(300129.SZ)2021年年报及2022一季报业绩交流会,2022-05-05 20:00:00,浙商证券股份有限公司,研究所所长,聚焦成长 价值发现,浙商证券研究所,21,2022-05-05 16:23:48
1614390,10046965,0,85218,民生电子 | 东微半导经营近况交流会,2022-05-05 20:00:00,民生证券研究所,,民生在勤 守正出新,民生证券研究院,52,2022-05-05 16:23:48
1180976,10049355,0,87736,海通证券 | 军工团队：军工年、季报综述及22Q1公募基金持仓分析,2022-05-05 20:00:00,海通证券,海通证券研究所,海纳百川 通向辉煌,海通证券研究所,14,2022-05-05 16:23:51
1154678,10049364,0,87745,天风基础化工 | 瑞联新材深度沙龙,2022-05-05 20:00:00,天风证券,天风证券研究所,致力做最好的投研服务,天风证券研究所,8,2022-05-05 16:23:51
1211641,10049186,0,87553,东北风电系列｜宝胜股份一季报&平价海缆项目交流,2022-05-05 20:00:00,东北证券,东北证券,相融相通 互琢玉成,东北证券研究所,25,2022-05-05 16:23:51
1234502,5408,0,87701,长江农业 | 海大集团深度：云开见日，直济沧海,2022-05-05 20:00:00,长江证券,农林牧渔行业研究员,长江证券农林牧渔行业研究员,余昌,11,2022-05-05 16:23:51
1234532,5195,0,87763,长江交运 | 圆通速递深度报告：变则圆，达则通，行无碍,2022-05-05 20:00:00,长江证券,交运行业首席分析师,长江证券交运行业首席分析师,韩轶超,22,2022-05-05 16:23:51
1180976,10049334,0,87714,海通证券 | 利扬芯片2022年一季报业绩交流,2022-05-05 20:00:00,海通证券,海通证券研究所,海纳百川 通向辉煌,海通证券研究所,11,2022-05-05 16:23:51
1206507,10049398,0,87781,申万宏源机械 | 5月金股：高测股份,2022-05-05 20:00:00,申万宏源证券,机械首席分析师,申万机械首席分析师,王珂,16,2022-05-05 16:23:51
1180976,10049387,0,87770,海通证券 | 家电年报及一季报总结及展望,2022-05-05 20:00:00,海通证券,海通证券研究所,海纳百川 通向辉煌,海通证券研究所,22,2022-05-05 16:23:51
2109207,10049544,0,87935,浙商食饮|“疫后布局反弹”白酒系列调研：古井贡酒渠道近况跟踪,2022-05-05 20:00:01,浙商证券,首席食饮分析师,浙商证券食饮组首席,浙商证券杨骥,6,2022-05-05 16:23:51
1317175,10049429,0,87815,国君电新 | 美畅股份深度：金刚线龙头乘风破浪,2022-05-05 21:00:00,国泰君安证券,研究所,引领金融服务 共悦财富人生,国泰君安证券研究所,7,2022-05-05 16:23:51
1217972,10047863,0,86169,国金家电 | 飞科电器2021年报&2022年一季报业绩交流会,2022-05-05 11:00:00,国金证券研究所,家电行业首席分析师,国金证券家电行业首席分析师,谢丽媛,179,2022-05-05 16:23:51
1194882,10049049,218744,87409,招商证券 | 银泰黄金一季度业绩交流会,2022-05-05 11:00:00,招商证券,有色金属行业首席分析师,招商证券有色金属行业首席分析师,刘文平,92,2022-05-05 16:23:51
1448012,10048939,0,87284,华鑫食饮 | 宝宝树近期进展交流,2022-05-05 11:00:00,华鑫证券,,诚信、专业、稳健、高效,华鑫证券研究所,85,2022-05-05 16:23:51
1614390,10048143,218765,86456,民生能源开采 | 中国神华季报解读电话会议,2022-05-05 10:30:00,民生证券研究所,,民生在勤 守正出新,民生证券研究院,219,2022-05-05 16:23:51
1534239,10048534,218745,86864,中信证券 | 瑞普生物2022年一季报交流,2022-05-05 10:30:00,中信证券,中信证券研究所,激情、创新、整合、卓越,中信证券研究部,89,2022-05-05 16:23:51
1448012,10048924,218735,87269,华鑫传媒 | 华策影视近期进展交流,2022-05-05 10:30:00,华鑫证券,,诚信、专业、稳健、高效,华鑫证券研究所,84,2022-05-05 16:23:51
1231140,10048997,218761,87347,方正医药 | 前沿生物2021年报及2022年一季报业绩交流会,2022-05-05 10:30:00,方正证券,方正证券研究所,正在你身边,方正证券研究所,62,2022-05-05 16:23:51
1448012,10048927,218762,87272,华鑫医药 | 方盛制药近期进展交流,2022-05-05 10:30:00,华鑫证券,,诚信、专业、稳健、高效,华鑫证券研究所,72,2022-05-05 16:23:51
1534239,10048340,218729,86660,中信证券 | 松井股份2022年一季报业绩交流,2022-05-05 10:30:00,中信证券,中信证券研究所,激情、创新、整合、卓越,中信证券研究部,123,2022-05-05 16:23:51
