,date,name,SecuCode,SecuCategory,ListedState
16007890,2020-07-09 00:00:00,洛阳钼业,603993,1.0,1.0
6289921,2020-08-27 00:00:00,浙商中拓,000906,1.0,1.0
16007893,2020-02-10 00:00:00,海丰国际,,,
6289917,2020-11-02 00:00:00,海亮教育,,,
6081375,2020/11/11-13,渝农商行,601077,1.0,1.0
6082145,2020/9/3-4,渝农商行,601077,1.0,1.0
2057,2020/5/25-29,潍柴动力,000338,1.0,1.0
16007894,2020-02-27 00:00:00,爱旭科技,,,
16007895,2020-07-27 00:00:00,爱旭股份,600732,1.0,1.0
6086573,2020/6/1-5,爱旭股份,600732,1.0,1.0
16007897,2020-02-16 00:00:00,爱柯迪,600933,1.0,1.0
16007898,2020-03-12 00:00:00,环卫行业,,,
16007899,2020-02-25 00:00:00,白云机场,600004,1.0,1.0
6082146,2020/12/23-24,盛屯矿业,600711,1.0,1.0
16007925,2020-02-05 00:00:00,真视通,002771,1.0,1.0
6085341,2020/12/23-24,祥鑫科技,002965,1.0,1.0
6086572,2020/6/1-5,福斯特,603806,1.0,1.0
16007926,2020-05-28 00:00:00,福田汽车,600166,1.0,1.0
6087385,2020/11/3-10,科博达,603786,1.0,1.0
3444584,2020-01-07 00:00:00,科达洁能,,,
16007927,2020-02-13 00:00:00,科顺股份,300737,1.0,1.0
1823977,2020-01-13 00:00:00,科顺股份,300737,1.0,1.0
16006838,2019-07-16 00:00:00,精工钢构,600496,1.0,1.0
16007930,2020/10/27,精工钢构,600496,1.0,1.0
16007933,2020-04-07 00:00:00,精工钢构,600496,1.0,1.0
16007936,2020-07-08 00:00:00,精工钢构,600496,1.0,1.0
12767718,2020-02-07 00:00:00,精研科技,300709,1.0,1.0
6081377,2020/12/23-24,紫金矿业,601899,1.0,1.0
6081378,2020/5/27-28,紫金银行,601860,1.0,1.0
16007939,2020-02-26 00:00:00,纳思达,002180,1.0,1.0
